gid,geom,description,laeq1h_0,laeq1h_1,laeq1h_2,laeq1h_3,laeq1h_4,laeq1h_5,laeq1h_6,laeq1h_7,laeq1h_8,laeq1h_9,laeq1h_10,laeq1h_11,laeq1h_12,laeq1h_13,laeq1h_14,laeq1h_15,laeq1h_16,laeq1h_17,laeq1h_18,laeq1h_19,laeq1h_20,laeq1h_21,laeq1h_22,laeq1h_23,lday,leve,lnight,laeq16,lden,st_x,st_y
1,0101000020BB1000002B15373341E062400FF980C082F640C0,,86.07900912,84.40019623,83.47962113,83.71443208,85.4370806,88.72646659,92.37263815,94.88452697,95.31231956,94.84506531,94.97523324,95.20824401,95.28852254,95.3281121,95.41395927,95.65080335,96.06572793,96.07900912,95.10576298,93.63950218,92.17356825,90.90512688,89.69196111,88.00259784,95.3644139,91.85015419,87.5897353,94.71598276,94.34662699,151.007959,-33.92586523
2,0101000020BB100000F006A11001E0624075792179B5F140C0,,85.90469636,84.22588347,83.30530837,83.54011933,85.26276784,88.55215383,92.19832539,94.71021421,95.1380068,94.67075255,94.80092048,95.03393125,95.11420978,95.15379935,95.23964651,95.47649059,95.89141517,95.90469636,94.93145022,93.46518942,91.99925549,90.73081412,89.51764836,87.82828508,95.19010114,91.67584143,87.41542254,94.54167,94.17231423,151.00013,-33.88835062
3,0101000020BB10000045E831A4AFE06240926F064361F240C0,,85.76006506,84.08125217,83.16067707,83.39548802,85.11813654,88.40752253,92.05369409,94.56558291,94.9933755,94.52612125,94.65628918,94.88929995,94.96957848,95.00916804,95.09501521,95.33185929,95.74678387,95.76006506,94.78681891,93.32055812,91.85462419,90.58618282,89.37301705,87.68365378,95.04546984,91.53121013,87.27079124,94.3970387,94.02768293,151.0214406,-33.8935932
4,0101000020BB10000018A4CC7F1FE26240D6BF246B10F540C0,,82.97185186,81.29303898,80.37246388,80.60727483,82.32992334,85.61930933,89.26548089,91.77736971,92.2051623,91.73790805,91.86807598,92.10108676,92.18136529,92.22095485,92.30680202,92.54364609,92.95857067,92.97185186,91.99860572,90.53234492,89.06641099,87.79796963,86.58480386,84.89544058,92.25725664,88.74299693,84.48257805,91.6088255,91.23946974,151.0663451,-33.91456355
5,0101000020BB10000018A4CC7F1FE26240D6BF246B10F540C0,,82.97185186,81.29303898,80.37246388,80.60727483,82.32992334,85.61930933,89.26548089,91.77736971,92.2051623,91.73790805,91.86807598,92.10108676,92.18136529,92.22095485,92.30680202,92.54364609,92.95857067,92.97185186,91.99860572,90.53234492,89.06641099,87.79796963,86.58480386,84.89544058,92.25725664,88.74299693,84.48257805,91.6088255,91.23946974,151.0663451,-33.91456355
6,0101000020BB10000018A4CC7F1FE26240D6BF246B10F540C0,,82.97185186,81.29303898,80.37246388,80.60727483,82.32992334,85.61930933,89.26548089,91.77736971,92.2051623,91.73790805,91.86807598,92.10108676,92.18136529,92.22095485,92.30680202,92.54364609,92.95857067,92.97185186,91.99860572,90.53234492,89.06641099,87.79796963,86.58480386,84.89544058,92.25725664,88.74299693,84.48257805,91.6088255,91.23946974,151.0663451,-33.91456355
7,0101000020BB10000018A4CC7F1FE26240D6BF246B10F540C0,,82.97185186,81.29303898,80.37246388,80.60727483,82.32992334,85.61930933,89.26548089,91.77736971,92.2051623,91.73790805,91.86807598,92.10108676,92.18136529,92.22095485,92.30680202,92.54364609,92.95857067,92.97185186,91.99860572,90.53234492,89.06641099,87.79796963,86.58480386,84.89544058,92.25725664,88.74299693,84.48257805,91.6088255,91.23946974,151.0663451,-33.91456355
8,0101000020BB10000018A4CC7F1FE26240D6BF246B10F540C0,,82.97185186,81.29303898,80.37246388,80.60727483,82.32992334,85.61930933,89.26548089,91.77736971,92.2051623,91.73790805,91.86807598,92.10108676,92.18136529,92.22095485,92.30680202,92.54364609,92.95857067,92.97185186,91.99860572,90.53234492,89.06641099,87.79796963,86.58480386,84.89544058,92.25725664,88.74299693,84.48257805,91.6088255,91.23946974,151.0663451,-33.91456355
9,0101000020BB10000018A4CC7F1FE26240D6BF246B10F540C0,,82.97185186,81.29303898,80.37246388,80.60727483,82.32992334,85.61930933,89.26548089,91.77736971,92.2051623,91.73790805,91.86807598,92.10108676,92.18136529,92.22095485,92.30680202,92.54364609,92.95857067,92.97185186,91.99860572,90.53234492,89.06641099,87.79796963,86.58480386,84.89544058,92.25725664,88.74299693,84.48257805,91.6088255,91.23946974,151.0663451,-33.91456355
10,0101000020BB10000018A4CC7F1FE26240D6BF246B10F540C0,,82.97185186,81.29303898,80.37246388,80.60727483,82.32992334,85.61930933,89.26548089,91.77736971,92.2051623,91.73790805,91.86807598,92.10108676,92.18136529,92.22095485,92.30680202,92.54364609,92.95857067,92.97185186,91.99860572,90.53234492,89.06641099,87.79796963,86.58480386,84.89544058,92.25725664,88.74299693,84.48257805,91.6088255,91.23946974,151.0663451,-33.91456355
